label,seed,trigger_strategy,event_driven_freq,controller_freq,periodic_freq,threshold_confidence,TED_combined,TED_passenger,TED_freight,delay_ratio,n_delay_gt3min,n_delay_gt5min,max_end_delay,n_rescheduled,n_evaluated,n_skipped_no_improvement,total_solve_time_s,mean_solve_time_s,trigger_rate_pct,trigger_rate_mc_pct,n_platform_switches,n_fcfs_fallback,deadlock
ED_600_300_c04,0,event_driven,600.0,300.0,600.0,0.4,39843.09999999999,37021.3,2821.7999999999884,0.43052293359008503,66,9,356.59999999999945,52,184,38,3.5154294967651367,0.06760441339932956,0.47780942754755124,28.26086956521739,18,0,False
ED_600_300_c04,1,event_driven,600.0,300.0,600.0,0.4,43178.99999999998,38545.39999999997,4633.600000000006,0.6789967725799251,53,12,1428.0,56,177,40,3.5555567741394043,0.06349208525248937,0.5136672170243992,31.63841807909605,15,0,False
ED_600_300_c04,2,event_driven,600.0,300.0,600.0,0.4,43345.69999999998,39340.49999999999,4005.199999999987,0.5750505972719704,52,17,1442.699999999997,61,185,31,3.909714698791504,0.06409368358674597,0.5600440690414984,32.972972972972975,16,0,False
ED_600_300_c04,3,event_driven,600.0,300.0,600.0,0.4,40375.4,38260.3,2115.0999999999985,0.3122513041306148,53,8,610.0,56,178,41,3.664715528488159,0.06544134872300285,0.5139972464433226,31.46067415730337,13,0,False
ED_600_300_c04,4,event_driven,600.0,300.0,600.0,0.4,39887.4,37218.799999999996,2668.600000000006,0.4049886403858062,50,7,523.0,48,179,47,3.055861711502075,0.06366378565629323,0.4406499586890664,26.81564245810056,14,0,False
ED_600_300_c04,5,event_driven,600.0,300.0,600.0,0.4,38371.79999999999,35738.19999999999,2633.5999999999985,0.41623525810194406,45,5,528.0,56,183,36,3.598223924636841,0.0642539986542293,0.5143277002204262,30.601092896174865,14,0,False
ED_600_300_c04,6,event_driven,600.0,300.0,600.0,0.4,40179.79999999998,35259.799999999996,4919.999999999983,0.7881465609529836,47,12,1471.0,49,179,47,3.1675846576690674,0.06464458485038913,0.45065759220086454,27.37430167597765,15,0,False
ED_600_300_c04,7,event_driven,600.0,300.0,600.0,0.4,43727.19999999999,39855.799999999996,3871.3999999999924,0.5486536105517523,57,15,1439.0999999999913,59,181,36,4.437049150466919,0.07520422288926981,0.540441513236237,32.59668508287293,15,0,False
ED_600_300_c04,8,event_driven,600.0,300.0,600.0,0.4,42548.49999999999,38993.5,3554.9999999999955,0.514954802977165,51,15,1633.0,61,171,40,4.1493940353393555,0.0680228530383501,0.5593251421236017,35.67251461988304,15,0,False
ED_600_300_c04,9,event_driven,600.0,300.0,600.0,0.4,40517.29999999999,37798.399999999994,2718.899999999997,0.4062950626667605,62,6,488.0,52,181,44,3.4392309188842773,0.06613905613238995,0.4766706389219911,28.7292817679558,15,0,False
