label,seed,trigger_strategy,event_driven_freq,controller_freq,periodic_freq,threshold_confidence,TED_combined,TED_passenger,TED_freight,delay_ratio,n_delay_gt3min,n_delay_gt5min,max_end_delay,n_rescheduled,n_evaluated,n_skipped_no_improvement,total_solve_time_s,mean_solve_time_s,trigger_rate_pct,trigger_rate_mc_pct,n_platform_switches,n_fcfs_fallback,deadlock
H_1800_900_3600_c04,0,hybrid,1800.0,900.0,3600.0,0.4,43257.19999999995,38652.19999999998,4604.9999999999745,0.6729412385494024,56,15,1574.0,30,50,10,1.9020988941192627,0.06340329647064209,0.27497708524289644,60.0,15,0,False
H_1800_900_3600_c04,1,hybrid,1800.0,900.0,3600.0,0.4,43016.89999999995,38438.29999999996,4578.599999999991,0.6728066240479634,59,7,1433.6000000000058,24,49,9,1.3297648429870605,0.05540686845779419,0.21978021978021978,48.97959183673469,11,0,False
H_1800_900_3600_c04,2,hybrid,1800.0,900.0,3600.0,0.4,43794.6,38513.9,5280.699999999997,0.7744541723754419,56,13,1556.0,26,51,14,1.5819218158721924,0.06084314676431509,0.23851022841941105,50.98039215686274,14,0,False
H_1800_900_3600_c04,3,hybrid,1800.0,900.0,3600.0,0.4,36167.49999999998,34079.499999999985,2087.999999999991,0.34606605853249595,42,8,479.0,26,50,11,1.427293062210083,0.05489588700808012,0.23881693763203823,52.0,14,0,False
H_1800_900_3600_c04,4,hybrid,1800.0,900.0,3600.0,0.4,38560.99999999998,36616.699999999975,1944.3000000000002,0.2999202579667233,58,11,614.0,26,51,9,1.481032371520996,0.056962783520038314,0.2384883507613282,50.98039215686274,13,0,False
H_1800_900_3600_c04,5,hybrid,1800.0,900.0,3600.0,0.4,39594.199999999946,37856.699999999975,1737.4999999999727,0.25924105875606807,43,4,467.0,30,53,7,1.8510661125183105,0.06170220375061035,0.2754567991919934,56.60377358490566,14,0,False
H_1800_900_3600_c04,6,hybrid,1800.0,900.0,3600.0,0.4,40520.59999999996,36000.09999999998,4520.499999999983,0.7092584083481307,53,9,1471.0,24,49,13,1.5500071048736572,0.06458362936973572,0.2207099503402612,48.97959183673469,14,0,False
H_1800_900_3600_c04,7,hybrid,1800.0,900.0,3600.0,0.4,42008.99999999997,36180.49999999999,5828.499999999977,0.9099215760538816,62,16,1439.0999999999913,25,51,10,1.4328439235687256,0.057313756942749025,0.22948411969891683,49.01960784313725,16,0,False
H_1800_900_3600_c04,8,hybrid,1800.0,900.0,3600.0,0.4,39522.19999999997,35668.799999999996,3853.3999999999724,0.6102071906472347,56,11,1633.0,26,51,11,1.5672271251678467,0.060277966352609486,0.23857588548357495,50.98039215686274,13,0,False
H_1800_900_3600_c04,9,hybrid,1800.0,900.0,3600.0,0.4,40682.79999999996,37639.59999999997,3043.1999999999916,0.45667498422575437,43,9,488.0,27,51,7,1.522707462310791,0.056396572678177444,0.24757014487438106,52.94117647058824,14,0,False
H_1800_900_3600_c04,10,hybrid,1800.0,900.0,3600.0,0.4,39405.29999999995,35882.79999999998,3522.4999999999704,0.5544806615235859,47,9,1426.0999999999913,22,48,15,1.2744824886322021,0.05793102221055464,0.20190895741556536,45.83333333333333,14,0,False
H_1800_900_3600_c04,11,hybrid,1800.0,900.0,3600.0,0.4,42102.89999999998,38831.69999999998,3271.2000000000007,0.4758197017407923,55,15,779.0,26,52,10,1.6104297637939453,0.06193960629976713,0.2386415787058284,50.0,14,0,False
H_1800_900_3600_c04,12,hybrid,1800.0,900.0,3600.0,0.4,41814.69999999999,39935.299999999996,1879.3999999999924,0.2658177624285293,56,8,541.0,27,51,9,1.577951431274414,0.058442645602756076,0.2473886750962067,52.94117647058824,14,0,False
H_1800_900_3600_c04,13,hybrid,1800.0,900.0,3600.0,0.4,41332.7,37086.0,4246.699999999995,0.6467900271006558,55,16,1485.5999999999913,26,49,14,1.6176002025604248,0.06221539240617018,0.2386415787058284,53.06122448979592,13,0,False
H_1800_900_3600_c04,14,hybrid,1800.0,900.0,3600.0,0.4,39170.39999999994,34997.99999999998,4172.399999999965,0.6733865483051099,51,10,1432.2999999999884,29,48,8,1.6562409400939941,0.057111756554965316,0.2667157178331647,60.416666666666664,13,0,False
H_1800_900_3600_c04,15,hybrid,1800.0,900.0,3600.0,0.4,39424.19999999995,36561.599999999984,2862.5999999999704,0.4422391642753946,57,14,607.0,26,49,9,1.488835096359253,0.057262888321509726,0.23868539428991095,53.06122448979592,12,0,False
H_1800_900_3600_c04,16,hybrid,1800.0,900.0,3600.0,0.4,37435.799999999996,35574.6,1861.199999999998,0.29551174399465,47,7,434.0,27,50,11,1.6460986137390137,0.06096661532366717,0.24818457578821584,54.0,16,0,False
H_1800_900_3600_c04,17,hybrid,1800.0,900.0,3600.0,0.4,41329.799999999974,38085.1,3244.699999999978,0.4812172370141202,53,12,441.0,28,51,8,1.6658403873443604,0.05949429954801287,0.2571874712960412,54.90196078431373,14,0,False
H_1800_900_3600_c04,18,hybrid,1800.0,900.0,3600.0,0.4,38971.09999999998,36229.19999999998,2741.899999999997,0.4274788122457955,43,13,745.0,21,49,12,1.3379201889038086,0.06371048518589564,0.19319227230910763,42.857142857142854,14,0,False
H_1800_900_3600_c04,19,hybrid,1800.0,900.0,3600.0,0.4,42348.29999999999,37907.00000000001,4441.299999999977,0.6617781458787043,53,11,1385.5,27,49,8,1.5808217525482178,0.05854895379808214,0.2478883584282042,55.10204081632652,13,0,False
H_1800_900_3600_c04,20,hybrid,1800.0,900.0,3600.0,0.4,42357.899999999994,40228.7,2129.2,0.29895249733822693,56,15,550.0,26,49,10,1.6952018737792969,0.06520007206843449,0.2384446074834923,53.06122448979592,14,0,False
H_1800_900_3600_c04,21,hybrid,1800.0,900.0,3600.0,0.4,38570.19999999995,37251.89999999998,1318.299999999976,0.1998883809422297,51,8,596.0,31,51,5,1.9853098392486572,0.06404225287898895,0.2846648301193756,60.78431372549019,14,0,False
