label,seed,trigger_strategy,event_driven_freq,controller_freq,periodic_freq,threshold_confidence,TED_combined,TED_passenger,TED_freight,delay_ratio,n_delay_gt3min,n_delay_gt5min,max_end_delay,n_rescheduled,n_evaluated,n_skipped_no_improvement,total_solve_time_s,mean_solve_time_s,trigger_rate_pct,trigger_rate_mc_pct,n_platform_switches,n_fcfs_fallback,deadlock
P_100000,26,periodic,100000.0,100000.0,100000.0,0.6,47624.39999999997,39507.799999999974,8116.599999999997,1.1604141711006688,81,22,531.2999999999993,0,0,0,0,0.0,0.0,0.0,0,0,False
P_100000,27,periodic,100000.0,100000.0,100000.0,0.6,42100.59999999989,35633.09999999991,6467.4999999999745,1.0251904629604,53,15,562.7000000000003,0,0,0,0,0.0,0.0,0.0,0,0,False
P_100000,28,periodic,100000.0,100000.0,100000.0,0.6,46741.89999999997,37691.099999999984,9050.79999999999,1.3563440997715923,73,22,573.5999999999985,0,0,0,0,0.0,0.0,0.0,0,0,False
P_100000,29,periodic,100000.0,100000.0,100000.0,0.6,44642.399999999885,38233.499999999905,6408.89999999998,0.9468063577522554,69,14,443.0,0,0,0,0,0.0,0.0,0.0,0,0,False
P_100000,30,periodic,100000.0,100000.0,100000.0,0.6,52900.5999999998,41182.599999999846,11717.99999999996,1.6071686735510782,72,17,2283.8999999999796,0,0,0,0,0.0,0.0,0.0,0,0,False
P_100000,31,periodic,100000.0,100000.0,100000.0,0.6,42178.09999999995,36496.79999999995,5681.299999999996,0.879254625604991,61,13,813.1000000000004,0,0,0,0,0.0,0.0,0.0,0,0,False
P_100000,32,periodic,100000.0,100000.0,100000.0,0.6,48289.29999999986,39704.09999999989,8585.199999999972,1.2213405812354026,77,19,1425.7999999999884,0,0,0,0,0.0,0.0,0.0,0,0,False
P_100000,33,periodic,100000.0,100000.0,100000.0,0.6,49269.9999999999,37931.299999999916,11338.699999999986,1.6884463447117526,77,24,785.199999999998,0,0,0,0,0.0,0.0,0.0,0,0,False
P_100000,34,periodic,100000.0,100000.0,100000.0,0.6,46453.69999999991,36718.99999999992,9734.699999999992,1.4974538737767604,66,19,1599.0,0,0,0,0,0.0,0.0,0.0,0,0,False
P_100000,35,periodic,100000.0,100000.0,100000.0,0.6,50719.39999999992,38198.79999999996,12520.59999999996,1.8513867359276075,73,22,1012.5999999999985,0,0,0,0,0.0,0.0,0.0,0,0,False
P_100000,36,periodic,100000.0,100000.0,100000.0,0.6,45714.19999999993,40350.19999999996,5363.999999999972,0.7508700884198372,76,25,605.0,0,0,0,0,0.0,0.0,0.0,0,0,False
P_100000,37,periodic,100000.0,100000.0,100000.0,0.6,58915.999999999876,37201.69999999994,21714.299999999937,3.2968924053955075,82,33,1140.0999999999985,0,0,0,0,0.0,0.0,0.0,0,0,False
P_100000,38,periodic,100000.0,100000.0,100000.0,0.6,39447.799999999894,34687.99999999992,4759.799999999975,0.77505258809456,57,4,381.6999999999971,0,0,0,0,0.0,0.0,0.0,0,0,False
P_100000,39,periodic,100000.0,100000.0,100000.0,0.6,42996.399999999965,37746.49999999999,5249.899999999976,0.7855902221048624,63,8,476.0,0,0,0,0,0.0,0.0,0.0,0,0,False
P_100000,40,periodic,100000.0,100000.0,100000.0,0.6,40803.59999999994,31469.99999999997,9333.599999999971,1.4014180032222248,63,18,783.4999999999982,0,0,0,0,0.0,0.0,0.0,0,0,True
P_100000,41,periodic,100000.0,100000.0,100000.0,0.6,49690.69999999998,36142.89999999999,13547.8,2.1172274073618467,64,23,1633.0,0,0,0,0,0.0,0.0,0.0,0,0,False
P_100000,42,periodic,100000.0,100000.0,100000.0,0.6,49892.19999999994,37601.59999999995,12290.599999999988,1.846241403802785,79,23,1493.0,0,0,0,0,0.0,0.0,0.0,0,0,False
P_100000,43,periodic,100000.0,100000.0,100000.0,0.6,50544.79999999989,38654.29999999991,11890.499999999982,1.737496870328148,81,17,1427.0999999999913,0,0,0,0,0.0,0.0,0.0,0,0,False
P_100000,44,periodic,100000.0,100000.0,100000.0,0.6,44717.59999999994,36437.79999999995,8279.799999999987,1.2834809450082596,65,16,685.4999999999991,0,0,0,0,0.0,0.0,0.0,0,0,False
P_100000,45,periodic,100000.0,100000.0,100000.0,0.6,45724.79999999993,36565.19999999993,9159.599999999995,1.4149147757496698,70,19,1441.3999999999942,0,0,0,0,0.0,0.0,0.0,0,0,False
P_100000,46,periodic,100000.0,100000.0,100000.0,0.6,53037.19999999997,36835.69999999996,16201.500000000004,2.484322796384197,75,25,1510.0,0,0,0,0,0.0,0.0,0.0,0,0,False
P_100000,47,periodic,100000.0,100000.0,100000.0,0.6,48953.99999999993,38773.79999999994,10180.19999999999,1.4829949463439096,68,17,1633.0,0,0,0,0,0.0,0.0,0.0,0,0,False
P_100000,48,periodic,100000.0,100000.0,100000.0,0.6,46541.499999999956,38784.09999999996,7757.399999999997,1.1297547984076748,74,21,604.8999999999996,0,0,0,0,0.0,0.0,0.0,0,0,False
P_100000,49,periodic,100000.0,100000.0,100000.0,0.6,47201.499999999935,36053.69999999995,11147.79999999998,1.74646969674387,68,19,1493.0,0,0,0,0,0.0,0.0,0.0,0,0,False
P_450,0,periodic,450.0,450.0,450.0,0.6,42088.9,38960.700000000004,3128.199999999998,0.45351273530438657,58,18,1574.0,102,0,83,6.609035491943359,0.06479446560728784,0.9368111682586333,10200.0,17,0,False
P_450,1,periodic,450.0,450.0,450.0,0.6,39580.799999999974,37721.59999999998,1859.199999999997,0.278392628748923,54,8,414.0,90,0,92,5.727841138839722,0.06364267932044135,0.8253851797505503,9000.0,14,0,False
