seed,label,RESCHEDULING_HORIZON,CONFLICT_WINDOW,SWITCH_PENALTY,RETRACK_CONFLICT_WINDOW,DISPATCHER_PRIORITY_TTL,min_objective_improvement,TED_combined,TED_passenger,TED_freight,delay_ratio,n_platform_switches,n_rescheduled,n_evaluated,n_skipped_no_improvement,total_steps,total_solve_time_s,mean_solve_time_s,trigger_rate_pct,trigger_rate_mc_pct,deadlock,ttl
6,TTL2700,3600,1200,120,900,2700.0,60,38967.09999999998,35236.39999999999,3730.699999999988,0.5980266285575551,17,47,0,47,10875,2.6749978065490723,0.0569148469478526,0.432183908045977,4700.0,False,2700
7,TTL2700,3600,1200,120,900,2700.0,60,40698.499999999985,37002.5,3695.9999999999836,0.5641864115210485,17,44,0,50,10888,2.5504298210144043,0.05796431411396374,0.4041146216017634,4400.0,False,2700
8,TTL2700,3600,1200,120,900,2700.0,60,40934.599999999955,36833.29999999998,4101.2999999999765,0.628930468228057,15,43,0,50,10891,2.7001707553863525,0.06279466872991518,0.39482141217519057,4300.0,False,2700
9,TTL2700,3600,1200,120,900,2700.0,60,40190.29999999998,37007.09999999999,3183.1999999999916,0.4858482012109278,15,50,0,44,10887,2.85408616065979,0.0570817232131958,0.45926334160007354,5000.0,False,2700
10,TTL2700,3600,1200,120,900,2700.0,60,37713.99999999997,34519.899999999994,3194.099999999978,0.5226376669689042,14,45,0,49,10888,2.580064058303833,0.05733475685119629,0.41329904481998525,4500.0,False,2700
11,TTL2700,3600,1200,120,900,2700.0,60,40752.899999999994,37571.600000000006,3181.2999999999847,0.47826286607174057,15,46,0,48,10898,2.621349573135376,0.05698586028555165,0.42209579739401726,4600.0,False,2700
12,TTL2700,3600,1200,120,900,2700.0,60,46385.39999999996,38881.89999999997,7503.499999999988,1.0900292062220867,18,50,0,44,10900,3.1392745971679688,0.06278549194335938,0.45871559633027525,5000.0,False,2700
13,TTL2700,3600,1200,120,900,2700.0,60,40757.69999999998,37734.19999999999,3023.4999999999905,0.4525812448333649,13,47,0,47,10899,2.687838315963745,0.05718804927582436,0.4312322231397376,4700.0,False,2700
14,TTL2700,3600,1200,120,900,2700.0,60,42383.299999999974,38502.899999999994,3880.399999999979,0.5692522832374606,16,45,0,49,10891,2.567291259765625,0.05705091688368055,0.4131851987879901,4500.0,False,2700
15,TTL2700,3600,1200,120,900,2700.0,60,39510.99999999998,37283.09999999999,2227.8999999999837,0.33752457916220885,15,47,0,47,10887,2.6337637901306152,0.05603752744958756,0.4317075411040691,4700.0,False,2700
16,TTL2700,3600,1200,120,900,2700.0,60,40922.09999999998,38135.999999999985,2786.0999999999885,0.41265136688358683,15,42,0,52,10891,2.6353156566619873,0.06274561087290446,0.3856395188687908,4200.0,False,2700
17,TTL2700,3600,1200,120,900,2700.0,60,40913.50000000002,38984.400000000016,1929.100000000005,0.2795024462306766,14,45,0,48,10901,2.58064341545105,0.05734763145446777,0.41280616457205754,4500.0,False,2700
18,TTL2700,3600,1200,120,900,2700.0,60,40815.89999999997,37748.399999999994,3067.49999999998,0.4589947833899866,16,43,0,50,10883,2.406466245651245,0.055964331294215006,0.39511164201047505,4300.0,False,2700
19,TTL2700,3600,1200,120,900,2700.0,60,40914.79999999998,38714.200000000004,2200.59999999998,0.32106469040720254,13,45,0,49,10889,2.7051429748535156,0.060114288330078126,0.41326108917255944,4500.0,False,2700
